Source,Language,Date,Branch,Region,Sessions,Event Name,Program Type,Public Event?,Volunteer Assisted?,Tags,Event Type,Hours,Tech?,Virtual?,Attendance,Audience Age,Older Adults?,Health and Wellness?,Business and Career?,EventSponsor,UniqueProgramID,Location,ESOL Flag (internal),School,Instructor,Comments,Group Category,Group Name,Participating Branch,Live Attendance,VideoViews,Branch blending,One on one program?,Outreach Type:,Zip code for comm health,Start time,Completion time,Program Area,Row to remove,Hybrid,High Profile,Vehicle,CHO ID,Interpretation Offered
Calendar of Events,English,7/8/2026 11:00:00 AM,"Central, B&CC",Central,1,Public Reservation,,No,No,,Meeting Room,2,No,No,1,Adults,No,No,No,,6a4dbc466d621994119245,"Central Library, B&CC, Booth 1",No,,,,,,,1,0,"Central, B&CC","No, not a one-on-one",,,,,,,,,,,
Calendar of Events,English,7/8/2026 11:00:00 AM,"Central, B&CC",Central,1,Public Reservation,,No,No,,Meeting Room,2,No,No,1,Adults,No,No,No,,6a48c0c755626082252161,"Central Library, B&CC, Booth 2",No,,,,,,,1,0,"Central, B&CC","No, not a one-on-one",,,,,,,,,,,
Calendar of Events,English,7/8/2026 11:15:00 AM,"Central, B&CC",Central,1,Public Reservation,,No,No,,Meeting Room,2,No,No,2,Adults,No,No,No,,6a4e6534ed433177562046,"Central Library, B&CC, Booth 5",No,,,,,,,2,0,"Central, B&CC","No, not a one-on-one",,,,,,,,,,,
Calendar of Events,English,7/8/2026 11:15:00 AM,"Central, B&CC",Central,1,Public Reservation,,No,No,,Meeting Room,1.25,No,No,1,Adults,No,No,No,,6a4e357e7a108562969158,"Central Library, B&CC, Booth 6",No,,,,,,,1,0,"Central, B&CC","No, not a one-on-one",,,,,,,,,,,
Calendar of Events,English,7/8/2026 11:45:00 AM,"Central, B&CC",Central,1,Public Reservation,,No,No,,Meeting Room,1.25,No,No,1,Adults,No,No,No,,6a4e70aa479a8739766959,"Central Library, B&CC, Meeting Room 10",No,,,,,,,1,0,"Central, B&CC","No, not a one-on-one",,,,,,,,,,,
Calendar of Events,English,7/8/2026 12:15:00 PM,"Central, B&CC",Central,1,Public Reservation,,No,No,,Meeting Room,2,No,No,1,Adults,No,No,No,,6a4e49840c44b312539952,"Central Library, B&CC, Meeting Room 8",No,,,Zoom meetings,,,,1,0,"Central, B&CC","No, not a one-on-one",,,,,,,,,,,
Calendar of Events,English,7/8/2026 12:15:00 PM,"Central, B&CC",Central,1,Public Reservation,,No,No,,Meeting Room,2,No,No,1,Adults,No,No,No,,6a4aaf395efc9759751121,"Central Library, B&CC, Meeting Room 9",No,,,B,,,,1,0,"Central, B&CC","No, not a one-on-one",,,,,,,,,,,
Calendar of Events,English,7/8/2026 12:30:00 PM,"Central, B&CC",Central,1,Public Reservation,,No,No,,Meeting Room,1,No,No,1,Adults,No,No,No,,6a4e715e5673d313798060,"Central Library, B&CC, Booth 6",No,,,Consultation Call,,,,1,0,"Central, B&CC","No, not a one-on-one",,,,,,,,,,,
Calendar of Events,English,7/8/2026 12:30:00 PM,"Central, B&CC",Central,1,Public Reservation,,No,No,,Meeting Room,1.5,No,No,1,Adults,No,No,No,,6a4e7845c80df943972440,"Central Library, B&CC, Booth 4",No,,,Zoom meetings,,,,1,0,"Central, B&CC","No, not a one-on-one",,,,,,,,,,,
Calendar of Events,English,7/8/2026 1:00:00 PM,"Central, B&CC",Central,1,Public Reservation,,No,No,,Meeting Room,2,No,No,6,Adults,No,No,No,,6a4bb559e5099392730038,"Central Library, B&CC, Meeting Room 7",No,,,Staff  training,,,,6,0,"Central, B&CC","No, not a one-on-one",,,,,,,,,,,
Calendar of Events,English,7/8/2026 1:00:00 PM,"Central, B&CC",Central,1,Public Reservation,,No,No,,Meeting Room,1.5,No,No,6,Adults,No,No,No,,6a4e6e419cb9d337455436,"Central Library, B&CC, Meeting Room 10",No,,,Coworking,,,,6,0,"Central, B&CC","No, not a one-on-one",,,,,,,,,,,
Calendar of Events,English,7/8/2026 1:00:00 PM,"Central, B&CC",Central,1,Public Reservation,,No,No,,Meeting Room,1,No,No,1,Adults,No,No,No,,6a4e5de7ee557703011256,"Central Library, B&CC, Booth 3",No,,,,,,,1,0,"Central, B&CC","No, not a one-on-one",,,,,,,,,,,
Calendar of Events,English,7/8/2026 1:00:00 PM,"Central, B&CC",Central,1,Public Reservation,,No,No,,Meeting Room,1,No,No,1,Adults,No,No,No,,6a4e83512a460974542823,"Central Library, B&CC, Booth 2",No,,,,,,,1,0,"Central, B&CC","No, not a one-on-one",,,,,,,,,,,
Calendar of Events,English,7/8/2026 1:15:00 PM,"Central, B&CC",Central,1,Public Reservation,,No,No,,Meeting Room,1,No,No,1,Adults,No,No,No,,6a4e85270039b372494860,"Central Library, B&CC, Booth 1",No,,,PO additional session,,,,1,0,"Central, B&CC","No, not a one-on-one",,,,,,,,,,,
Calendar of Events,English,7/8/2026 1:30:00 PM,"Central, B&CC",Central,1,Public Reservation,,No,No,,Meeting Room,1.5,No,No,1,Adults,No,No,No,,6a4e8c6f98b2d926176129,"Central Library, B&CC, Booth 6",No,,,,,,,1,0,"Central, B&CC","No, not a one-on-one",,,,,,,,,,,
Calendar of Events,English,7/8/2026 2:00:00 PM,"Central, B&CC",Central,1,Public Reservation,,No,No,,Meeting Room,2,No,No,1,Adults,No,No,No,,6a4e8efb1d721190451553,"Central Library, B&CC, Booth 2",No,,,,,,,1,0,"Central, B&CC","No, not a one-on-one",,,,,,,,,,,
Calendar of Events,English,7/8/2026 2:30:00 PM,"Central, B&CC",Central,1,Public Reservation,,No,No,,Meeting Room,1,No,No,2,Adults,No,No,No,,6a4e97026c2d6887527965,"Central Library, B&CC, Booth 1",No,,,meeting,,,,2,0,"Central, B&CC","No, not a one-on-one",,,,,,,,,,,
Calendar of Events,English,7/8/2026 2:30:00 PM,"Central, B&CC",Central,1,Public Reservation,,No,No,,Meeting Room,2,No,No,1,Adults,No,No,No,,6a4e547ae87a0888514556,"Central Library, B&CC, Meeting Room 9",No,,,,,,,1,0,"Central, B&CC","No, not a one-on-one",,,,,,,,,,,
Calendar of Events,English,7/8/2026 2:30:00 PM,"Central, B&CC",Central,1,Public Reservation,,No,No,,Meeting Room,2,No,No,1,Adults,No,No,No,,6a44d26913127082286192,"Central Library, B&CC, Meeting Room 10",No,,,,,,,1,0,"Central, B&CC","No, not a one-on-one",,,,,,,,,,,
Calendar of Events,English,7/8/2026 2:45:00 PM,"Central, B&CC",Central,1,Public Reservation,,No,No,,Meeting Room,1.25,No,No,1,Adults,No,No,No,,6a4e98923ba1f732992204,"Central Library, B&CC, Booth 3",No,,,,,,,1,0,"Central, B&CC","No, not a one-on-one",,,,,,,,,,,
Calendar of Events,English,7/8/2026 2:45:00 PM,"Central, B&CC",Central,1,Public Reservation,,No,No,,Meeting Room,1.5,No,No,1,Adults,No,No,No,,6a4e9cedb1fd9107224047,"Central Library, B&CC, Booth 4",No,,,,,,,1,0,"Central, B&CC","No, not a one-on-one",,,,,,,,,,,
Calendar of Events,English,7/8/2026 3:00:00 PM,"Central, B&CC",Central,1,Public Reservation,,No,No,,Meeting Room,2,No,No,1,Adults,No,No,No,,6a4e9e56b78e3175099738,"Central Library, B&CC, Booth 6",No,,,,,,,1,0,"Central, B&CC","No, not a one-on-one",,,,,,,,,,,
Calendar of Events,English,7/8/2026 3:45:00 PM,"Central, B&CC",Central,1,Public Reservation,,No,No,,Meeting Room,1.5,No,No,1,Adults,No,No,No,,6a4e7aef59458141557156,"Central Library, B&CC, Meeting Room 7",No,,,meeting,,,,1,0,"Central, B&CC","No, not a one-on-one",,,,,,,,,,,
Calendar of Events,English,7/8/2026 3:45:00 PM,"Central, B&CC",Central,1,Public Reservation,,No,No,,Meeting Room,2,No,No,1,Adults,No,No,No,,6a4ea59606f42823857893,"Central Library, B&CC, Booth 5",No,,,,,,,1,0,"Central, B&CC","No, not a one-on-one",,,,,,,,,,,
Calendar of Events,English,7/8/2026 4:00:00 PM,"Central, B&CC",Central,1,Public Reservation,,No,No,,Meeting Room,0.5,No,No,1,Adults,No,No,No,,6a4cd3b337c26143672642,"Central Library, B&CC, Booth 2",No,,,Prep for online class @4:30pm,,,,1,0,"Central, B&CC","No, not a one-on-one",,,,,,,,,,,
Calendar of Events,English,7/8/2026 4:00:00 PM,"Central, B&CC",Central,1,Public Reservation,,No,No,,Meeting Room,1.25,No,No,2,Adults,No,No,No,,6a4d8d73f3a79966104630,"Central Library, B&CC, Booth 1",No,,,Reading group,,,,2,0,"Central, B&CC","No, not a one-on-one",,,,,,,,,,,
Calendar of Events,English,7/8/2026 4:00:00 PM,"Central, B&CC",Central,1,Public Reservation,,No,No,,Meeting Room,2,No,No,1,Adults,No,No,No,,6a4ac52c05c10802093838,"Central Library, B&CC, Booth 3",No,,,Work,,,,1,0,"Central, B&CC","No, not a one-on-one",,,,,,,,,,,
Calendar of Events,English,7/8/2026 4:15:00 PM,"Central, B&CC",Central,1,Public Reservation,,No,No,,Meeting Room,1,No,No,2,Adults,No,No,No,,6a4eaaebdf97d873015892,"Central Library, B&CC, Booth 4",No,,,,,,,2,0,"Central, B&CC","No, not a one-on-one",,,,,,,,,,,
Calendar of Events,English,7/8/2026 4:30:00 PM,"Central, B&CC",Central,1,Public Reservation,,No,No,,Meeting Room,2,No,No,2,Adults,No,No,No,,6a4e9fc787f44663537504,"Central Library, B&CC, Meeting Room 9",No,,,Study,,,,2,0,"Central, B&CC","No, not a one-on-one",,,,,,,,,,,
Calendar of Events,English,7/8/2026 4:30:00 PM,"Central, B&CC",Central,1,Public Reservation,,No,No,,Meeting Room,2,No,No,1,Adults,No,No,No,,6a4eb2a259f9c944648196,"Central Library, B&CC, Booth 2",No,,,,,,,1,0,"Central, B&CC","No, not a one-on-one",,,,,,,,,,,
Calendar of Events,English,7/8/2026 5:00:00 PM,"Central, B&CC",Central,1,Public Reservation,,No,No,,Meeting Room,2,No,No,1,Adults,No,No,No,,6a4c110dbf7a6211873378,"Central Library, B&CC, Booth 6",No,,,PhD focused work.,,,,1,0,"Central, B&CC","No, not a one-on-one",,,,,,,,,,,
Calendar of Events,English,7/8/2026 5:00:00 PM,"Central, B&CC",Central,1,Public Reservation,,No,No,,Meeting Room,2,No,No,1,Adults,No,No,No,,6a44d29975008085014823,"Central Library, B&CC, Meeting Room 10",No,,,"Studying, Writing",,,,1,0,"Central, B&CC","No, not a one-on-one",,,,,,,,,,,
Calendar of Events,English,7/8/2026 5:15:00 PM,"Central, B&CC",Central,1,Public Reservation,,No,No,,Meeting Room,2,No,No,1,Adults,No,No,No,,6a4ebdd218c80605137652,"Central Library, B&CC, Booth 4",No,,,,,,,1,0,"Central, B&CC","No, not a one-on-one",,,,,,,,,,,
Calendar of Events,English,7/8/2026 5:15:00 PM,"Central, B&CC",Central,1,Public Reservation,,No,No,,Meeting Room,2,No,No,1,Adults,No,No,No,,6a4eb914bbbe9745539933,"Central Library, B&CC, Meeting Room 8",No,,,,,,,1,0,"Central, B&CC","No, not a one-on-one",,,,,,,,,,,
Calendar of Events,English,7/8/2026 5:15:00 PM,"Central, B&CC",Central,1,Public Reservation,,No,No,,Meeting Room,2.25,No,No,1,Adults,No,No,No,,6a4ebd5fbdc07683188317,"Central Library, B&CC, Booth 1",No,,,,,,,1,0,"Central, B&CC","No, not a one-on-one",,,,,,,,,,,
Calendar of Events,English,7/8/2026 5:30:00 PM,"Central, B&CC",Central,1,Public Reservation,,No,No,,Meeting Room,0.5,No,No,1,Adults,No,No,No,,6a4ec320c6590590396158,"Central Library, B&CC, Meeting Room 7",No,,,"PATRN NAME	DAVIS, MATTHEW V
P BARCODE	21111041030487",,,,1,0,"Central, B&CC","No, not a one-on-one",,,,,,,,,,,
Calendar of Events,English,7/8/2026 5:45:00 PM,"Central, B&CC",Central,1,Public Reservation,,No,No,,Meeting Room,1.25,No,No,1,Adults,No,No,No,,6a4ec4cff283c469686498,"Central Library, B&CC, Booth 5",No,,,Recharging of devices + work,,,,1,0,"Central, B&CC","No, not a one-on-one",,,,,,,,,,,
Calendar of Events,English,7/8/2026 6:00:00 PM,"Central, B&CC",Central,1,Public Reservation,,No,No,,Meeting Room,1,No,No,5,Adults,No,No,No,,6a4e7e4c2411f080200958,"Central Library, B&CC, Meeting Room 7",No,,,,,,,5,0,"Central, B&CC","No, not a one-on-one",,,,,,,,,,,
Calendar of Events,English,7/8/2026 6:00:00 PM,"Central, B&CC",Central,1,Public Reservation,,No,No,,Meeting Room,0.75,No,No,2,Adults,No,No,No,,6a4ec5c05d3da453534080,"Central Library, B&CC, Booth 3",No,,,,,,,2,0,"Central, B&CC","No, not a one-on-one",,,,,,,,,,,
Calendar of Events,English,7/8/2026 6:30:00 PM,"Central, B&CC",Central,1,Public Reservation,,No,No,,Meeting Room,1,No,No,2,Adults,No,No,No,,6a4ec5d4228a2345367939,"Central Library, B&CC, Booth 2",No,,,,,,,2,0,"Central, B&CC","No, not a one-on-one",,,,,,,,,,,
Calendar of Events,English,7/8/2026 6:30:00 PM,"Central, B&CC",Central,1,Public Reservation,,No,No,,Meeting Room,1,No,No,6,Adults,No,No,No,,6a49016d34e14035535206,"Central Library, B&CC, Meeting Room 9",No,,,meeting for 350BK plastic free committee,,,,6,0,"Central, B&CC","No, not a one-on-one",,,,,,,,,,,
Calendar of Events,English,7/8/2026 6:45:00 PM,"Central, B&CC",Central,1,Public Reservation,,No,No,,Meeting Room,1,No,No,1,Adults,No,No,No,,6a3b19ca884bb501864016,"Central Library, B&CC, Booth 3",No,,,Appt with my psychiatrist who only does telehealth,,,,1,0,"Central, B&CC","No, not a one-on-one",,,,,,,,,,,
Calendar of Events,English,7/8/2026 7:00:00 PM,"Central, B&CC",Central,1,Public Reservation,,No,No,,Meeting Room,0.75,No,No,7,Adults,No,No,No,,6a43cb221f0c2138931245,"Central Library, B&CC, Meeting Room 7",No,,,meeting,,,,7,0,"Central, B&CC","No, not a one-on-one",,,,,,,,,,,
Calendar of Events,English,7/8/2026 6:30:00 AM,East Flatbush,Flatbush,1,Birch Family Services,Games,No,No,,Visit,1.5,No,No,6,Adults,No,No,No,,834533,"East Flatbush, Large Conference Room",No,,Maxine Hannam,,Group,Birch Family Service,,6,0,East Flatbush,"No, not a one-on-one",,,,,,,0,0,0,,
Calendar of Events,English,7/8/2026 10:45:00 AM,Flatlands,Flatbush,1,Outreach to Grant House Unity,Civic Engagement & Rights,No,No,,Outreach,0.25,No,No,20,Kids,No,No,No,,834687,Flatlands Library,No,,Michael Condon,,Government/Social Services Agency,Grant House Unity Corp,Flatlands Library,20,0,Flatlands,"No, not a one-on-one",,,,,,,0,0,0,,
Calendar of Events,English,7/8/2026 10:00:00 AM,Sunset Park,New Utrecht,1,Class Visit: C.V. PS 971 CFL Gr. 3,Juv & YA Education,No,No,,Visit,1,No,No,25,Kids,No,No,No,,834812,"Sunset Park, Multipurpose Room B",No,"P.S. 971 School of Math, Science, and Healthy Living",Ana Alzugaray,,School,,,25,0,Sunset Park,"No, not a one-on-one",,,,,,,0,0,0,,
Calendar of Events,English,7/8/2026 9:00:00 AM,Homecrest,Kings Highway,1,Chess Class,Games,No,No,,Meeting Room,2,No,No,10,Teens,No,No,No,,826565,"Homecrest, Meeting Room",No,P.S. 195 Manhattan Beach,Lisa/ Michael Tam,,School,,,10,0,Homecrest,"No, not a one-on-one",,,,,,,0,0,0,,
Calendar of Events,English,7/8/2026 12:00:00 PM,"Central, Youth Wing",Central,1,BookMatch Teen,Reading & Writing,No,No,,Program,1.5,No,No,12,Teens,No,No,No,Youth Wing,834753,"Central Library, Youth Wing",No,,,,,,,12,0,"Central, Youth Wing","No, not a one-on-one",,,,,,,0,0,0,,
Calendar of Events,English,7/8/2026 6:00:00 AM,Central,Central,1,Beginning Hebrew Conversation for Adults,Adult Education,Yes,No,"hebrew, multilingual",Program,1.5,No,Yes,7,Adults,No,No,No,Central Adult Services,828518,Central Library,No,,Howard Berman and Debbie Markowitz,,,,,7,0,Central,"No, not a one-on-one",,,,,,,0,0,0,,
Calendar of Events,English,7/8/2026 12:00:00 PM,Central,Central,1,Healthy Hearing Series: Sound as Culture,Health & Wellness,Yes,No,"health and wellness, Healthy Communities",Program,1,No,Yes,19,Adults,No,Yes,No,Community Health (Outreach Dept),820417,Central Library,No,,Liberty Hearing Centers,,,,,19,0,Central,"No, not a one-on-one",,,,,,,0,0,0,,
Calendar of Events,"Chinese, English",7/8/2026 8:00:00 AM,Dyker,New Utrecht,1,Painting American Eagles and other Birds of Prey with Henry Li,"Crafting, Digital Media, Making",Yes,No,"America 250, arts and crafts, celebrate heritage, multilingual",Program,2,No,Yes,105,OlderAdults,Yes,No,No,,830350,"Dyker Library, Auditorium",No,,Henry Li,,,,,53,52,Dyker,"No, not a one-on-one",,,,,,,0,0,0,,
Calendar of Events,English,7/8/2026 10:30:00 AM,Central,Central,1,Creative Aging: For Once In My Life with Ari Satok,Reading & Writing,Yes,No,"creative aging, creative writing, Virtual Programming",Program,1.5,No,Yes,19,OlderAdults,Yes,Yes,No,Older Adults,827949,Central Library,No,,,,,,,19,0,Central,"No, not a one-on-one",,,,,,,0,0,0,,
Calendar of Events,English,7/8/2026 1:00:00 PM,Central,Central,1,Free Online English Class (We Speak NYC),Adult Education,Yes,No,"ESOL, Immigrant Services, WeSpeakNYC",Program,2,No,Yes,11,Adults,No,No,No,Adult Learning,834590,Central Library,Yes,,Nico Salvador,,,,,11,0,Central,"No, not a one-on-one",,,,,,,0,0,0,,
Calendar of Events,English,7/8/2026 12:00:00 PM,McKinley Park,New Utrecht,1,Summer @ BPL: Map Your World with Community-Word Project,"Crafting, Digital Media, Making",Yes,No,"arts and crafts, summer reading, teen time",Program,1,No,No,7,Teens,No,No,No,PED,827475,"McKinley Park, Meeting Room",No,,Megan with Community Word Project,,,,,7,0,McKinley Park,"No, not a one-on-one",,,,,,,0,0,0,,
Calendar of Events,English,7/8/2026 10:30:00 AM,New Utrecht,New Utrecht,1,Teen Lounge,"Crafting, Digital Media, Making",Yes,No,"teen tech time, teen time",Program,2,No,No,9,Teens,No,No,No,,833245,"New Utrecht, J Meeting Room",No,,,,,,,9,0,New Utrecht,"No, not a one-on-one",,,,,,,0,0,0,,
Calendar of Events,English,7/8/2026 12:00:00 PM,Sunset Park,New Utrecht,1,Teen Time: Postcard Writing,"Crafting, Digital Media, Making",Yes,No,"arts and crafts, creative writing, summer reading, teen time",Program,1,No,No,8,Teens,No,No,No,,832244,Sunset Park Library,No,,Claire Linn/Amanda Giglio,,,,,8,0,Sunset Park,"No, not a one-on-one",,,,,,,0,0,0,,
Calendar of Events,English,7/8/2026 9:00:00 AM,Coney Island,New Utrecht,1,Summer Meal Kids Movies @ the Library - Elio,"Dance, Music, Movies, & Performance",Yes,No,"free summer meals, kids, movies, movies at the library",Program,2,No,No,18,Teens,No,No,No,,827500,Coney Island Library,No,,Lauren Marchisotto,,,,,18,0,Coney Island,"No, not a one-on-one",,,,,,,0,0,0,,
Calendar of Events,English,7/8/2026 11:30:00 AM,Coney Island,New Utrecht,1,Hip Hop Dancing for Teens and Tweens,"Dance, Music, Movies, & Performance",Yes,No,dance fitness and classes,Program,1.25,No,No,10,Teens,No,No,No,,811268,Coney Island Library,No,,Yancy Greene/Lauren Marchisotto,,,,,10,0,Coney Island,"No, not a one-on-one",,,,,,,0,0,0,,
Calendar of Events,English,7/8/2026 12:00:00 PM,Highlawn,New Utrecht,1,Teen Time,Games,Yes,No,"after school, DIY, teen time",Program,1,No,No,3,Teens,No,No,No,,832800,"Highlawn, Meeting Room",No,,Liv Baerga,,,,,3,0,Highlawn,"No, not a one-on-one",,,,,,,0,0,0,,
Calendar of Events,English,7/8/2026 9:00:00 AM,Ulmer Park,New Utrecht,1,Kids/Teen Game On!,Games,Yes,No,"after school, game on, summer reading, table-top & board games",Program,4,No,No,4,Teens,No,No,No,,831698,Ulmer Park Library,No,,,,,,,4,0,Ulmer Park,"No, not a one-on-one",,,,,,,0,0,0,,
Calendar of Events,English,7/8/2026 11:00:00 AM,Red Hook,No Region,1,Teen Gaming Party,Games,Yes,No,"gaming for teens, teen time",Program,1.5,No,No,0,Teens,No,No,No,,830609,Red Hook Interim Library,No,,,,,,,0,0,No Branch,"No, not a one-on-one",,,,,,,0,0,0,,
Calendar of Events,English,7/8/2026 12:00:00 PM,Park Slope,Park Slope,1,Teen Time: Arts and Crafts,"Crafting, Digital Media, Making",Yes,No,"arts and crafts, DIY, teen time",Program,1.25,No,No,1,Teens,No,No,No,,823916,"Park Slope, Auditorium",No,,,,,,,1,0,Park Slope,"No, not a one-on-one",,,,,,,0,0,0,,
Calendar of Events,English,7/8/2026 12:00:00 PM,Williamsburgh,Park Slope,1,Wire Wrapped Jewelry Making,"Crafting, Digital Media, Making",Yes,No,"arts and crafts, DIY, jewelry making, skillshare",Program,1,No,No,5,Teens,No,No,No,,830533,Williamsburgh Library,No,,,,,,,5,0,Williamsburgh,"No, not a one-on-one",,,,,,,0,0,0,,
Calendar of Events,English,7/8/2026 12:00:00 PM,Brooklyn Heights,Park Slope,1,Game On:  Board Games for Teens,Games,Yes,No,"gaming for teens, teen time",Program,1,No,No,4,Teens,No,No,No,,834070,"Brooklyn Heights Library, Gaming Room",No,,Kristina Minor,,,,,4,0,Brooklyn Heights,"No, not a one-on-one",,,,,,,0,0,0,,
Calendar of Events,English,7/8/2026 6:00:00 AM,Adams Street,Park Slope,1,Take & Create: D.I.Y. Postcard Kits,Reading & Writing,Yes,No,"arts and crafts, creative writing, summer reading",Program,8,No,No,50,Teens,No,No,No,,831428,Adams Street Library,No,,Katie Vermilyea,,,,,50,0,Adams Street,"No, not a one-on-one",,,,,,,0,0,0,,
Calendar of Events,English,7/8/2026 6:00:00 AM,Flatlands,Flatbush,1,Passport Acceptance Event,Civic Engagement & Rights,Yes,No,Civic Engagement,Program,4,No,No,28,Adults,No,No,No,,834498,Flatlands Library,No,,"Assemblymember Kalman Yeger's staff, Samuel Isakov, Michael Condon",,,,,28,0,Flatlands,"Yes, this session was designed as one-on-one",,,,,,,0,0,0,,
Calendar of Events,English,7/8/2026 10:30:00 AM,Williamsburgh,Park Slope,1,Free Sew,"Crafting, Digital Media, Making",Yes,No,"arts and crafts, fiber arts, Sew Brooklyn",Program,1.5,No,No,0,Teens,No,No,No,,834295,"Williamsburgh, Community Room",No,,,,,,,0,0,Williamsburgh,"Yes, this session was designed as one-on-one",,,,,,,0,0,0,,
Calendar of Events,English,7/8/2026 10:00:00 AM,Gerritsen Beach,Kings Highway,1,Gerritsen Beach Job & Tech Help,Career & Prof Dev,Yes,No,"career, e-books, email, resume, techknowledge",Program,2,No,No,0,Adults,No,No,Yes,,833927,Gerritsen Beach Library,No,,Liv Highfill,,,,,0,0,Gerritsen Beach,"No, not a one-on-one",,,,,,,0,0,0,,
Calendar of Events,English,7/8/2026 9:00:00 AM,Cypress Hills,New Lots,1,Cypress Hills Resume Help,Adult Education,Yes,No,"adult learning, resume",Program,1,No,No,1,Adults,No,No,Yes,,824789,Cypress Hills Library,No,,,,,,,1,0,Cypress Hills,"No, not a one-on-one",,,,,,,0,0,0,,
Calendar of Events,English,7/8/2026 6:00:00 AM,"Central, B&CC",Central,1,Multilingual Business Help,Career & Prof Dev,Yes,No,"business, career, Immigrant Services, multilingual, small business",Program,2,No,No,3,Adults,No,No,Yes,"Business & Career Center, II2526 grant",812239,"Central Library, Business & Career Center",No,,B&CC | Yaël David,,,,,3,0,"Central, B&CC","Yes, this session was designed as one-on-one",,,,,,,0,0,0,,
Calendar of Events,English,7/8/2026 11:00:00 AM,"Central, B&CC",Central,1,Drop-In Resume & Career Help (Central Library),Career & Prof Dev,Yes,No,"business, career, resume",Program,2,No,No,3,Adults,No,No,Yes,Business & Career Center,828123,"Central Library, Business & Career Center",No,,djaz,,,,,3,0,"Central, B&CC","Yes, this session was designed as one-on-one",,,,,,,0,0,0,,
Calendar of Events,English,7/8/2026 10:00:00 AM,East Flatbush,Flatbush,1,Multilingual Business Help,Career & Prof Dev,Yes,No,"business, career, Immigrant Services, multilingual, small business",Program,2,No,No,4,Adults,No,No,Yes,"Business & Career Center, II2526 grant",812216,East Flatbush Library,No,,B&CC | Yaël David,,,,,4,0,East Flatbush,"Yes, this session was designed as one-on-one",,,,,,,0,0,0,,
Calendar of Events,English,7/8/2026 7:00:00 AM,Rugby,Flatbush,1,Drop In Resume Help,Career & Prof Dev,Yes,No,"career, resume",Program,2,No,No,2,Teens,No,No,Yes,,821682,Rugby Library,No,,,,,,,2,0,Rugby,"Yes, this session was designed as one-on-one",,,,,,,0,0,0,,
Calendar of Events,English,7/8/2026 7:00:00 AM,Greenpoint,Crown Heights,1,Brooklyn Supports,Health & Wellness,Yes,No,"benefit assistance, Healthy Communities, mental health, social services",Program,2,No,No,6,Adults,No,Yes,No,"Community Health (Outreach Dept), Outreach Services Department",831364,Greenpoint Library,No,,"Lisa Shankweiler, LCSW",,,,Greenpoint Library,6,0,Greenpoint,"No, not a one-on-one",,,,,,,0,0,0,,
Calendar of Events,English,7/8/2026 11:00:00 AM,Paerdegat,Flatbush,1,Seated Exercise,Health & Wellness,Yes,No,"health and wellness, Healthy Communities",Program,1,No,No,0,Adults,No,Yes,No,,830403,"Paerdegat, Meeting Room",No,,,,,,,0,0,Paerdegat,"No, not a one-on-one",,,,,,,0,0,0,,
Calendar of Events,English,7/8/2026 11:00:00 AM,Bay Ridge,New Utrecht,1,Playtime,Passive Programs,Yes,No,"early literacy, first five years, kids",Program,1,No,No,30,BirthToFiveYears,No,No,No,,821811,"Bay Ridge Library, Children's Program Room",No,,tina sclafani,,,,,30,0,Bay Ridge,"No, not a one-on-one",,,,,,,0,0,0,,
Calendar of Events,English,7/8/2026 7:00:00 AM,Bay Ridge,New Utrecht,1,Storytime,Story times,Yes,No,"early literacy, first five years, preschool, storytime",Program,0.5,No,No,35,BirthToFiveYears,No,No,No,,833773,"Bay Ridge Library, Children's Program Room",No,,tina sclafani,,,,,35,0,Bay Ridge,"No, not a one-on-one",,,,,,,0,0,0,,
Calendar of Events,English,7/8/2026 6:00:00 AM,Dyker,New Utrecht,1,Toddler Time,Story times,Yes,No,"first five years, music, storytime, toddler time",Program,0.4167,No,No,16,BirthToFiveYears,No,No,No,YFS,831811,"Dyker Library, Auditorium",No,,Kayleigh Salstrand,,,,,16,0,Dyker,"No, not a one-on-one",,,,,,,0,0,0,,
Calendar of Events,English,7/8/2026 6:30:00 AM,Dyker,New Utrecht,1,Toddler Time,Story times,Yes,No,"first five years, music, storytime, toddler time",Program,0.4167,No,No,16,BirthToFiveYears,No,No,No,YFS,831814,"Dyker Library, Auditorium",No,,Kayleigh Salstrand,,,,,16,0,Dyker,"No, not a one-on-one",,,,,,,0,0,0,,
Calendar of Events,English,7/8/2026 7:00:00 AM,Dyker,New Utrecht,1,Toddler Time,Story times,Yes,No,"first five years, music, storytime, toddler time",Program,0.4167,No,No,6,BirthToFiveYears,No,No,No,YFS,831817,"Dyker Library, Auditorium",No,,Kayleigh Salstrand,,,,,6,0,Dyker,"No, not a one-on-one",,,,,,,0,0,0,,
Calendar of Events,English,7/8/2026 7:00:00 AM,Fort Hamilton,New Utrecht,1,Wednesday Morning Story Time,Story times,Yes,No,"babies & books, storytime",Program,0.5,No,No,34,BirthToFiveYears,No,No,No,,829307,Fort Hamilton Library,No,,Michelle Gonzalez,,,,,34,0,Fort Hamilton,"No, not a one-on-one",,,,,,,0,0,0,,
Calendar of Events,English,7/8/2026 7:00:00 AM,Gravesend,New Utrecht,1,Toddler Time,Story times,Yes,No,"early literacy, first five years, preschool, storytime, toddler time",Program,0.75,No,No,14,BirthToFiveYears,No,No,No,,831605,Gravesend Library,No,,michelle lin,,,,,14,0,Gravesend,"No, not a one-on-one",,,,,,,0,0,0,,
